"filename", "language", "wxml", "JSON", "JavaScript", "CSS", "XML", "TypeScript", "comment", "blank", "total"
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\common\version.js", "JavaScript", 0, 0, 70, 0, 0, 0, 0, 1, 71
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\config-provider\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\config-provider\index.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\config-provider\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\config-provider\index.wxml", "wxml", 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\config-provider\index.wxs", "JavaScript", 0, 0, 23, 0, 0, 0, 1, 6, 30
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\count-down\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\count-down\index.js", "JavaScript", 0, 0, 101, 0, 0, 0, 3, 1, 105
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\count-down\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 1, 4
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\count-down\index.wxml", "wxml", 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\count-down\index.wxss", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\count-down\utils.d.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 1, 11
"d:\User_program\bs\xyyz-new\miniprogram\miniprogram_npm\@vant\weapp\count-down\utils.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 1, 65
